question,answer,times_asked,category
experience software engineering,4.0,1.0,skill
cognex,0.0,1.0,skill
windows networking,1.0,1.0,skill
civil engineering,0.0,1.0,skill
sales,0.0,1.0,skill
lead,2.0,1.0,skill
what are your salary expectations lei net,100000.0,1.0,skill
guidewire,0.0,1.0,skill
gatsbyjs,0.0,1.0,skill
design patterns,4.0,1.0,skill
building automation,1.0,1.0,skill
sheet metal design,0.0,1.0,skill
after sales,0.0,1.0,skill
website updating,2.0,1.0,skill
property management systems,0.0,1.0,skill
sheet metal,0.0,1.0,skill
elixir / phoenix,0.0,1.0,skill
javascript (es5/es6)/jquery,2.0,1.0,skill
computer software,10.0,1.0,skill
design control,3.0,1.0,skill
3d animation,0.0,1.0,skill
webrtc,0.0,1.0,skill
hmi configuration,0.0,1.0,skill
kubernetes multimaster cluster node environment operation,0.0,1.0,skill
total experienc,8.0,1.0,skill
hardware,1.0,1.0,skill
app sto,1.0,1.0,skill
jango web development,2.0,1.0,skill
working agile methodology,1.0,1.0,skill
salary expectation fix,100000.0,1.0,skill
plc ladder logic,1.0,1.0,skill
how many hours per week are able to work part-time,40.0,1.0,skill
marketing and advertising,0.0,1.0,skill
how may years team leading expertise bring to this role,1,1.0,skill
telerik ui for wpf,0.0,1.0,skill
change data capt,0.0,1.0,skill
been a full stack developer for,2.0,1.0,skill
data center,0.0,1.0,skill
automotive  currently hav,0.0,1.0,skill
elastic stack (elk),0.0,1.0,skill
autodesk inventor,1.0,1.0,skill
capital markets,0.0,1.0,skill
software testing,6.0,1.0,skill
short message peer-to-peer (smpp),0.0,1.0,skill
writing and implementing unit tests,3.0,1.0,skill
operating systems,2.0,1.0,skill
javascriptmvc,0.0,1.0,skill
golang or java or c# or c++,3,1.0,skill
programming  hav,10.0,1.0,skill
expected hourly salary on t4 basis,62.0,1.0,skill
microscopy,0.0,1.0,skill
community development,0.0,1.0,skill
cloud based infrastruct,1.0,1.0,skill
on front-end development,2.0,1.0,skill
schematic,0.0,1.0,skill
rest api,2,1.0,skill
materials,3.0,1.0,skill
mandatory: what are your annual salary expectations,100000,1.0,skill
project management  have,0.0,1.0,skill
usability engineering,1.0,1.0,skill
industrial automation,0.0,1.0,skill
back-end development,3.0,1.0,skill
professional  total,8.0,1.0,skill
new plant start-up,0.0,1.0,skill
rest ap,2.0,1.0,skill
structural engineering,1.0,1.0,skill
mission critical facilities,0.0,1.0,skill
failure analysis,4.0,1.0,skill
designing and building restful apis microservices architect,2.0,1.0,skill
maritime,0.0,1.0,skill
software engineering  currently hav,4.0,1.0,skill
machine design,4.0,1.0,skill
software/full-stack/backend engineering  hav,4.0,1.0,skill
experience vuejs,0.0,1.0,skill
simulink,1.0,1.0,skill
cloud management,1,1.0,skill
developing front end,1,1.0,skill
experience openshift,0.0,1.0,skill
oil & energy,5.0,1.0,skill
